sentence	sentence_source	is_praeteritum	wallis_path	wallis_client_id	wallis_dit_transcript	wallis_dat_transcript	zurich_path	zurich_client_id	zurich_dit_transcript	zurich_dat_transcript
Die Möglichkeit, einen Rückweisungsantrag zu stellen, ist gegeben.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/dade4d7701d3d766a8059091b8fd43f4de45ba466b538424bbb56eb5730ecb07.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Die Möglichkeit, einen Rückweisungsantrag zu stellen, ist gegeben.	Die Möglichkeit für einen Rückweisungsantrag zu stellen ist gegeben.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/dade4d7701d3d766a8059091b8fd43f4de45ba466b538424bbb56eb5730ecb07.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Die Möglichkeit, einen Rückweisungsantrag zu stellen, ist gegeben.	Die Möglichkeit einen Rückweisungsantrag zu stellen ist gegeben.
Das ist in Anbetracht der Grösse des Autos ein hervorragender Wert.	news_tech	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/3f2710fb87eef194b46821f4267b2316a9c1c5247b259733d4a724e95521d790.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Das ist in Anbetracht der Grösse des Autos ein hervorragender Wert.	Das ist in Anbetracht der Grösse des Autos ein hervorragender Wert.	datasets/STT4SG-350 v2.1/clips__test/3e7e3ad6-938d-40fa-9787-2e9f8c529a66/3f2710fb87eef194b46821f4267b2316a9c1c5247b259733d4a724e95521d790.mp3	3e7e3ad6-938d-40fa-9787-2e9f8c529a66	Das ist in Abbetracht der Grösse des Autos hervorragender Wert.	Das ist in Anbetracht der Grösse des Autos ein hervorragender Wert.
Sie hatte ihr Ohr beim Volk und den Vereinen.	parliament	True	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/d851472273bf34e2507412a3f909010b259e2bcbe882eeba0778508f33acb03d.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Sie hatte ihren Schwur beim Volk und den Vereinen.	Sie hatte ihr Ohr beim folgenden Verein.	datasets/STT4SG-350 v2.1/clips__test/8b48025a-2cff-4346-9dab-b45cfb683e22/d851472273bf34e2507412a3f909010b259e2bcbe882eeba0778508f33acb03d.mp3	8b48025a-2cff-4346-9dab-b45cfb683e22	Sie hatte ihr Ohr beim Volk und bei den Vereinen.	Sie hat ihr Ohr beim Volk und bei den Vereinen.
Und bringen neue Fakten ans Tageslicht.	news_every	False	datasets/STT4SG-350 v2.1/clips__test/a1859917-0a13-49e8-aa92-77ac5cb5151e/5e30d69595bfb748b1fa96ac384ef36418b384d98322d68465ee17f1464b64a7.mp3	a1859917-0a13-49e8-aa92-77ac5cb5151e	und bringe neue Fakten ans Tageslicht.	Und bringen neue Fakten ans Tageslicht.	datasets/STT4SG-350 v2.1/clips__test/06f2981e-5362-4daa-828c-cf2f06c15f63/5e30d69595bfb748b1fa96ac384ef36418b384d98322d68465ee17f1464b64a7.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	und bringen den neuen Faktor ins Tageslicht.	Und bringen neue Fakten ans Tageslicht.
Biel als Gegner findet er nicht lustig.	news_sport	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/4f7d31ae248d5718d95f19bcc976e49f2adf2d71e6c25f44442f4f4f75024f27.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Björn und Gartner finden auch nicht lustig.	Biel als Gegner findet er nicht lustig.	datasets/STT4SG-350 v2.1/clips__test/2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed/4f7d31ae248d5718d95f19bcc976e49f2adf2d71e6c25f44442f4f4f75024f27.mp3	2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed	Birla als Gegner findet er nicht lustig.	Biel als Gegner findet er nicht lustig.
Und so ist ihnen dieses Volk von der Fahne gegangen.	news_inter	False	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/7aff2f9a428570db1df09c77be4775a439b862820a42af9388ec875782110fd7.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Und so ist auch das Volk der Fahne gegangen.	Und so ging auch das Volk von der Fahne.	datasets/STT4SG-350 v2.1/clips__test/06f2981e-5362-4daa-828c-cf2f06c15f63/7aff2f9a428570db1df09c77be4775a439b862820a42af9388ec875782110fd7.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	Und so ist ihnen das Volk von der Fahne gegangen.	Und so ging auch das Volk von der Fahne.
Das ist für uns nicht vergleichbar.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/ac525ef40805476a9dce5ea6973b6aac24e238c156fb15958198969b4399a2e3.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Das ist für uns nicht vergleichbar.	Das ist für uns nicht vergleichbar.	datasets/STT4SG-350 v2.1/clips__test/8b48025a-2cff-4346-9dab-b45cfb683e22/ac525ef40805476a9dce5ea6973b6aac24e238c156fb15958198969b4399a2e3.mp3	8b48025a-2cff-4346-9dab-b45cfb683e22	Das ist für uns nicht vergleichbar.	Das ist für uns nicht vergleichbar.
Das entsprechende Vorgehen und die ungefähren Kosten wurden ermittelt.	parliament	True	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/37209dac72860f9275bf9e873e873d89ae348a36c53288033b92c7a8bbd8509e.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Zentsprechend vorgegeben und die ungefähren Kosten sind ermittelt worden.	Das entsprechende Vorgehen und die ungefähren Kosten wurden ermittelt.	datasets/STT4SG-350 v2.1/clips__test/e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4/37209dac72860f9275bf9e873e873d89ae348a36c53288033b92c7a8bbd8509e.mp3	e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4	Das entsprechende Vorgehen und die ungefähren Hosten sind ermittelt worden.	Das entsprechende Vorgehen und die ungefähren Kosten wurden ermittelt.
Ist der Homo sapiens wirklich die Krone der Schöpfung?	news_cultu	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/729a17b336ad90450022a94626e6c4da636b54f37a5086c6fe1a3fd442761269.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Ist der Homo sapiens wirklich die Krone einer Schöpfung?	Ist der Homo sapiens wirklich die Krone der Schöpfung?	datasets/STT4SG-350 v2.1/clips__test/e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4/729a17b336ad90450022a94626e6c4da636b54f37a5086c6fe1a3fd442761269.mp3	e1e57a5e-0e2c-4532-b8d0-1b2a2dc476a4	Ist der Homo Sapiens wirklich die Krönung der Schöpfung?	Ist der Homo sapiens wirklich die Krone der Schöpfung?
Die Bau- und Abbruchmaterialien werden gemäss den einschlägigen Bestimmungen gelagert und entsorgt.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/0b890339-031a-43ef-bc2e-5e8b5ac5e613/68c55bf1e529645382ffad636bed1d1a1bd55c9939ddc2bfcfa23ec328d1bc5d.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Die Bau- und Abbruchmaterialien werden gemäss den Einschlägungen und Bestimmungen gelagert und entsorgt.	Die Bau- und Abbruchmaterialien werden gemäss den einschlägigen Bestimmungen gelagert und entsorgt.	datasets/STT4SG-350 v2.1/clips__test/06f2981e-5362-4daa-828c-cf2f06c15f63/68c55bf1e529645382ffad636bed1d1a1bd55c9939ddc2bfcfa23ec328d1bc5d.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	Bau- und Abbruchmaterialien werden gemäss dem Einschlag der Besteinigung gelagert und entsorgt.	Bau- und Abbruchmaterialien werden gemäss den einschlägigen Bestimmungen gelagert und entsorgt.
Vor dem Spiel geben sich beide locker.	news_sport	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/b33d18b91ce37330f8000b3a771d293edd534b1e08905a1c843db9064606414b.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Vor dem Spiel geben sich beide locker.	Vor dem Spiel geben sich beide locker.	datasets/STT4SG-350 v2.1/clips__test/06f2981e-5362-4daa-828c-cf2f06c15f63/b33d18b91ce37330f8000b3a771d293edd534b1e08905a1c843db9064606414b.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	Vor dem Spiegel geht sich beides locker.	Vor dem Spiel geben sich beide locker.
Gerne möchte ich aber zu Grundsätzlichem kommen.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/0d54807c-ec46-415f-8ef2-0a2f769aab1a/e5a7db6af6fa93d4a501e50c92144082759b88f884a76d240947dcb4faa150c9.mp3	fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac	Garen wollte ich aber so grundsätzlich umkommen.	Gerne möchte ich aber zu Grundsätzlichem kommen.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/e5a7db6af6fa93d4a501e50c92144082759b88f884a76d240947dcb4faa150c9.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Gerne möchte ich aber zu Grundsätzlichem kommen.	Gerne möchte ich aber zu Grundsätzlichem kommen.
Sie soll zwischen dem dritten und sechsten Monat sein.	news_every	False	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/94372c3cfd758bd44abe6e1c3a6b80cde9213e9bb85a3d7f7ea2078c8cf26fb5.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Sie soll zwischen drittem und sechstem Monat sein.	Sie soll zwischen dem 3. und dem 6. Monat sein.	datasets/STT4SG-350 v2.1/clips__test/2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed/94372c3cfd758bd44abe6e1c3a6b80cde9213e9bb85a3d7f7ea2078c8cf26fb5.mp3	2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed	Sie soll zwischen dem 3. und dem 6. Monat sein.	Sie soll zwischen dem 3. und dem 6. Monat sein.
Viele Patienten nehmen ganz selbstverständlich beide Arten von Medizin in Anspruch.	news_cultu	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/3adaef1eb14474f07389140e6a063c078c193cd10b2bb73d9cc4c289ea413434.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Viele Patienten nehmen ganz selbstverständlich beide Arten von Medizin in Anspruch.	Viele Patienten nehmen ganz selbstverständlich beide Arten von Medizin in Anspruch.	datasets/STT4SG-350 v2.1/clips__test/9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f/3adaef1eb14474f07389140e6a063c078c193cd10b2bb73d9cc4c289ea413434.mp3	9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f	Viele Patienten nehmen ganz selbstverständlich beide Arten von Medizin in Anspruch.	Viele Patienten nehmen ganz selbstverständlich beide Arten von Medizin in Anspruch.
Wir haben 11'000 m2 Arealfläche.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/20d4403c0c3e2740556cdbcfc57efa517c352f569db771aa74b8c9d84cad9c2d.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Wir haben 11'000 m2 Arealfläche.	Wir haben 11000 Quadratmeter Arealfläche.	datasets/STT4SG-350 v2.1/clips__test/06f2981e-5362-4daa-828c-cf2f06c15f63/20d4403c0c3e2740556cdbcfc57efa517c352f569db771aa74b8c9d84cad9c2d.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	Wir haben 11'000 m2 Arealfläche.	Wir haben 11000 Quadratmeter Arealfläche.
Doch ein gelungener Start ist noch kein Garant für späteren Erfolg.	news_finan	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/ba0841795871278d98fbdf31c59bbcca23f94673bbdcff100307a230286236c3.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Doch ein gelungener Start ist noch kein Garantie für spätere Erfolge.	Ein gelungener Start ist noch kein Garant für einen späteren Erfolg.	datasets/STT4SG-350 v2.1/clips__test/06f2981e-5362-4daa-828c-cf2f06c15f63/ba0841795871278d98fbdf31c59bbcca23f94673bbdcff100307a230286236c3.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	Doch ein gelungener Start ist noch kein Garant für spätere Erfolge.	Doch ein gelungener Start ist noch kein Garant für späteren Erfolg.
Solche Initiativen könnten gar nicht umgesetzt werden.	news_switz	True	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/8dbbae6f34f3bbab1ba6f6734978738f97d494691f7fd7d6c987c70febd97642.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Solche Initiativen können noch gar nicht umgesetzt werden.	Solche Initiativen könnten gar nicht umgesetzt werden.	datasets/STT4SG-350 v2.1/clips__test/3e7e3ad6-938d-40fa-9787-2e9f8c529a66/8dbbae6f34f3bbab1ba6f6734978738f97d494691f7fd7d6c987c70febd97642.mp3	3e7e3ad6-938d-40fa-9787-2e9f8c529a66	Solche Initiativen können gar nicht umgesetzt werden.	Solche Initiativen könnten gar nicht umgesetzt werden.
Gebremst wird mit dem Fuss.	news_tech	False	datasets/STT4SG-350 v2.1/clips__test/0b890339-031a-43ef-bc2e-5e8b5ac5e613/64b3d50724e76021ff73d939d3b04be3394370cc93dfceb629cfc49518a8e270.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Gebranzt wird mit dem Füß.	Gebremst wird mit dem Fuss.	datasets/STT4SG-350 v2.1/clips__test/9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f/64b3d50724e76021ff73d939d3b04be3394370cc93dfceb629cfc49518a8e270.mp3	9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f	Bremset mich mit dem Fuß!	Gebremst wird mit dem Fuss.
Gerne wird er sein Engagement nun als Vizepräsident des Einwohnerrates weiterführen.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/3a231070-4b09-40eb-a319-1f3ed4e61ad9/7b4576cf8d45ce96b13b8d7d0567423fc111921cf30f71f3cde92eecab3c26f5.mp3	3a231070-4b09-40eb-a319-1f3ed4e61ad9	Er wird sein Engagement jetzt gerne als Vizepräsident des Einwohnerrates weiterführen.	Gerne werde er sein Engagement nun als Vizepräsident des Einwohnerrates weiterführen.	datasets/STT4SG-350 v2.1/clips__test/2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed/7b4576cf8d45ce96b13b8d7d0567423fc111921cf30f71f3cde92eecab3c26f5.mp3	2b08c635-ccf7-42a3-ae38-c7e57b3eb8ed	Gern wird er sein Engagement jetzt als Vizepräsident des Einwohnerrates weiterführen.	Gerne wird er sein Engagement nun als Vizepräsident des Einwohnerrates weiterführen.
So ganz aufgegangen ist diese Rechnung allerdings nicht.	news_tech	False	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/9376a4e86b50fb558ce5e97abb6d5b80b187dba32082adb46d77f26a060596f4.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	So ganz ist diese Rechnung allerdings nicht aufgegangen.	So ganz aufgegangen ist die Rechnung allerdings nicht.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/9376a4e86b50fb558ce5e97abb6d5b80b187dba32082adb46d77f26a060596f4.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	So ganz aufgegangen ist diese Rechnung allerdings nicht.	So ganz aufgegangen ist diese Rechnung allerdings nicht.
Egal ob bei den Schulen, Infrastruktur, Soziales, Kultur und Sport.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/cf9a5d96b972736df33c836288542486157efb9f5485b6ec0b13ccef2f0a2b8c.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Egal ob bei der Schule, Infrastruktur, Soziales, Kultur und Sport.	Egal ob bei Schulen, Infrastruktur, Soziales, Kultur und Sport.	datasets/STT4SG-350 v2.1/clips__test/ba826a45-33f8-47ef-9516-a66a201aac29/cf9a5d96b972736df33c836288542486157efb9f5485b6ec0b13ccef2f0a2b8c.mp3	ba826a45-33f8-47ef-9516-a66a201aac29	Egal ob bei der Schule, Infrastruktur, Soziales, Kultur oder Sport.	Egal ob bei den Schulen, Infrastruktur, Soziales, Kultur und Sport.
Dies steigert die Vorfreude auf einen Ritt unter der freien Sonne!	news_tech	False	datasets/STT4SG-350 v2.1/clips__test/3a231070-4b09-40eb-a319-1f3ed4e61ad9/9a856cbbf189d759e4aa300faed4810a67c5a75ed83bb809b008f23d3069f723.mp3	3a231070-4b09-40eb-a319-1f3ed4e61ad9	Das stieg Ruth Vorfreit unter der frühen Sonne zu Rito.	Das steigert die Vorfreude auf einen Ritt unter der freien Sonne.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/9a856cbbf189d759e4aa300faed4810a67c5a75ed83bb809b008f23d3069f723.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Das steigert die Vorfreude auf einen Ritt unter der freien Sonne.	Das steigert die Vorfreude auf einen Ritt unter der freien Sonne.
Gibt es ein Recht auf ein Kind?	news_cultu	False	datasets/STT4SG-350 v2.1/clips__test/a1859917-0a13-49e8-aa92-77ac5cb5151e/4238e5ddb5751faa18930649e306a5e20316a6c5241810e6a1f9f723b3ce2590.mp3	a1859917-0a13-49e8-aa92-77ac5cb5151e	Gibt es ein Recht auf ein Kind?	Gibt es ein Recht auf ein Kind?	datasets/STT4SG-350 v2.1/clips__test/ce8839ae-3b20-491c-8c33-cef08b4def6e/4238e5ddb5751faa18930649e306a5e20316a6c5241810e6a1f9f723b3ce2590.mp3	ce8839ae-3b20-491c-8c33-cef08b4def6e	Gibt es recht aufs Kind?	Gibt es ein Recht auf ein Kind?
Sie sollen künftig 1,7-mal höher sein als heute.	news_finan	False	datasets/STT4SG-350 v2.1/clips__test/50e4a935-c887-4c38-aff2-6286aab725d1/4b91579c8b6ce8d4b98ef634e88ebd9ffe7c5864fd2bba6f5f581180b617bcf8.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Sie soll künftig 1,7 mal höher sein als heute.	Sie sollen künftig 1.7-mal höher sein als heute.	datasets/STT4SG-350 v2.1/clips__test/ce8839ae-3b20-491c-8c33-cef08b4def6e/4b91579c8b6ce8d4b98ef634e88ebd9ffe7c5864fd2bba6f5f581180b617bcf8.mp3	ce8839ae-3b20-491c-8c33-cef08b4def6e	Sie sollen künftig 1,7 Mal höher sein als heute.	Sie sollen künftig 1.7-mal höher sein als heute.
Bisher sind rund 170 Länder beigetreten.	news_switz	False	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/87216178410d3abc73694818dbf16ca96dbc95a8dd1d0528320ff585bf15b796.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Bis jetzt sind rund 170 Länder wiegetreten.	Bisher sind rund 170 Länder beigetreten.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/87216178410d3abc73694818dbf16ca96dbc95a8dd1d0528320ff585bf15b796.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Bisher sind rund 170 Länder beigetreten.	Bisher sind rund 170 Länder beigetreten.
Es war ein langer Weg.	news_cultu	True	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/6babc72224428e4638e39bec8b3dc6c5177e52470c8716d5e579dee263d71ccb.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Es ist ein längerer Wachs.	Es war ein langer Weg.	datasets/STT4SG-350 v2.1/clips__test/4ee1811c-9884-4261-99cb-2f7346c8ea6e/6babc72224428e4638e39bec8b3dc6c5177e52470c8716d5e579dee263d71ccb.mp3	4ee1811c-9884-4261-99cb-2f7346c8ea6e	Es ist ein langer Weg gewesen.	Es war ja ein enger Weg.
Was ist denn schon gerecht?	news_other	False	datasets/STT4SG-350 v2.1/clips__test/503f5993-40fc-4547-a9c7-9f7d62b8f2a0/70a02a117a30cebe30e2e2dcea198aa6db56c7353aa208e9368113ba9d60d3d1.mp3	503f5993-40fc-4547-a9c7-9f7d62b8f2a0	Was ist das für eine Kraft?	Was ist denn schon gerecht?	datasets/STT4SG-350 v2.1/clips__test/06f2981e-5362-4daa-828c-cf2f06c15f63/70a02a117a30cebe30e2e2dcea198aa6db56c7353aa208e9368113ba9d60d3d1.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	Was ist dann schon gereicht?	Was ist denn schon gerecht?
Dieses Mal zum Glück nicht die Stadt Aarau.	parliament	False	datasets/STT4SG-350 v2.1/clips__test/226c7f4c-0da0-4e94-a873-ad1586107355/82718e894c4c1188bd4358a3563f331e5e0d58701bb4959e2ba5aa91024bcbd8.mp3	226c7f4c-0da0-4e94-a873-ad1586107355	Jetzt mal zum Glück nicht in der Stadt Aarau.	Diesmal zum Glück nicht die Stadt Aarau.	datasets/STT4SG-350 v2.1/clips__test/9864e0a2-eda0-48fe-97a7-65bc07cbb944/82718e894c4c1188bd4358a3563f331e5e0d58701bb4959e2ba5aa91024bcbd8.mp3	9864e0a2-eda0-48fe-97a7-65bc07cbb944	Diesmal zum Glück nicht Stadt Aarau.	Diesmal zum Glück nicht die Stadt Aarau.
Und das sei doch etwas Gutes.	news_scien	False	datasets/STT4SG-350 v2.1/clips__test/fd653920-0aa9-4f5f-8fe3-1da4d2f65f84/90ba0573667baf4c15f990db7d6e9f6eeeac00ae2f97f198fa7c5a6c057f2718.mp3	50e4a935-c887-4c38-aff2-6286aab725d1	Und dann wünsche ich dir heute etwas Gutes.	Und das sei doch etwas Gutes.	datasets/STT4SG-350 v2.1/clips__test/ba826a45-33f8-47ef-9516-a66a201aac29/90ba0573667baf4c15f990db7d6e9f6eeeac00ae2f97f198fa7c5a6c057f2718.mp3	ba826a45-33f8-47ef-9516-a66a201aac29	Und das sei doch etwas Gutes!	Und das sei doch etwas Gutes.
Mehr als bei Mitsubishi tut sich auch unter der Haube.	news_tech	False	datasets/STT4SG-350 v2.1/clips__test/3a231070-4b09-40eb-a319-1f3ed4e61ad9/9c156eff9dd5c1676b5baf0f6d8cc087ff4aa299d0b9aa22a47ddf09d03d8267.mp3	3a231070-4b09-40eb-a319-1f3ed4e61ad9	Ich bin Mitsubishi. Ich lebe unter der Hübe.	Mehr als bei Mitsubishi tut sich auch unter dieser Haube.	datasets/STT4SG-350 v2.1/clips__test/3e7e3ad6-938d-40fa-9787-2e9f8c529a66/9c156eff9dd5c1676b5baf0f6d8cc087ff4aa299d0b9aa22a47ddf09d03d8267.mp3	3e7e3ad6-938d-40fa-9787-2e9f8c529a66	Mehr als bei Mitsubishi tut sich auch unter der Haube.	Mehr als bei Mitsubi tut sich auch unter den Haufen.
Nun kann man für eine Person nachschauen.	news_other	False	datasets/STT4SG-350 v2.1/clips__test/226c7f4c-0da0-4e94-a873-ad1586107355/3635637e8b48ad0fb893718e55d759d838fe42e2a3b5c0a2619ceab31c29155a.mp3	226c7f4c-0da0-4e94-a873-ad1586107355	Jetzt kann man für eine Person nachschauen.	Nun kann man für eine Person nachschauen.	datasets/STT4SG-350 v2.1/clips__test/f4fb8f97-1f36-4024-8b0d-3d03682400d7/3635637e8b48ad0fb893718e55d759d838fe42e2a3b5c0a2619ceab31c29155a.mp3	06f2981e-5362-4daa-828c-cf2f06c15f63	Jetzt kann man für eine Person anschauen.	Nun kann man für eine Person betrachten.
Fast alle seien inzwischen in die Schweiz zurückgekehrt.	news_other	False	datasets/STT4SG-350 v2.1/clips__test/226c7f4c-0da0-4e94-a873-ad1586107355/7d2ee1994a85b167cb4b52c55ae3f8563349ee8aa9303d85613875ac922c2aab.mp3	226c7f4c-0da0-4e94-a873-ad1586107355	Fast alle sind dazwischen in die Schweiz zurückgekommen.	Fast alle seien inzwischen in die Schweiz zurückgekehrt.	datasets/STT4SG-350 v2.1/clips__test/8b48025a-2cff-4346-9dab-b45cfb683e22/7d2ee1994a85b167cb4b52c55ae3f8563349ee8aa9303d85613875ac922c2aab.mp3	8b48025a-2cff-4346-9dab-b45cfb683e22	Fast alle seien inzwischen in die Schweiz zurückgekommen.	Fast alle seien inzwischen in die Schweiz zurückgekehrt.
Alles müssen die Eltern den Kindern aber nicht erzählen.	news_switz	False	datasets/STT4SG-350 v2.1/clips__test/20c8300d-7fba-441e-9062-ad5046c311f7/dcb03eb45d2d6de4c4fe4deb362721514d6f3d1ef39761276682cd7ddeb64012.mp3	0b890339-031a-43ef-bc2e-5e8b5ac5e613	Alles müssen die Eltern und die Kinder aber auch nicht erzählen.	Alles müssen die Eltern den Kindern aber nicht erzählen.	datasets/STT4SG-350 v2.1/clips__test/6d34bfbb-2de2-48d9-891d-ae216f9b347b/dcb03eb45d2d6de4c4fe4deb362721514d6f3d1ef39761276682cd7ddeb64012.mp3	6d34bfbb-2de2-48d9-891d-ae216f9b347b	Alles müssen die Eltern den Kindern aber nicht erzählen.	Alles mit Eltern den Kindern aber nicht erzählen.
